epoch,acc,nmi,pur,ari,loss
100,0.3810789525497145,0.5371967719684158,0.44300059066745423,0.25917999764045624,0.2118993103504181
200,0.5049222287851939,0.6379334187915459,0.5818074424099232,0.3873689359422152,0.1391177475452423
300,0.5691080921441228,0.6710153211320671,0.6310297302618626,0.44779886994430645,0.12138273566961288
400,0.35026580035440047,0.48368649573944256,0.41012010238235874,0.24565649849687754,0.11403840035200119
500,0.38265406576097655,0.4987059933283682,0.43551880291395945,0.2663104361464645,0.1053445041179657
600,0.3784209490057098,0.5049353766297604,0.4412285883047844,0.2673549717116573,0.09426288306713104
700,0.3888560740303209,0.5149160722844699,0.44664303996849775,0.2835868902369296,0.08317197859287262
800,0.38363851151801537,0.5190947591701702,0.4459539279385706,0.29116281151379525,0.07406646013259888
900,0.39850364244930103,0.527381980854644,0.45540460720614295,0.3003567959883177,0.06735746562480927
1000,0.4217365623154164,0.536515247747976,0.4726324079543217,0.31382210125774923,0.06243803724646568
1100,0.40460720614294154,0.5364992761138162,0.47292774168143337,0.31035969544128456,0.058728910982608795
1200,0.4238038984051979,0.5432774529445373,0.48109864146485526,0.3230011763187963,0.05602145195007324
1300,0.42163811773971255,0.5432013381768377,0.4801141957078165,0.3168950097779031,0.05405859276652336
