epoch,acc,nmi,pur,ari,loss
100,0.32849702380952384,0.26621059866564517,0.3794642857142857,0.13780439779986023,0.9054861068725586
200,0.5200892857142857,0.46907322309494676,0.5598958333333334,0.331478922314373,0.8856739401817322
300,0.5416666666666666,0.4974149334386242,0.5918898809523809,0.3545532476069074,0.8620328307151794
400,0.6316964285714286,0.5372171452301275,0.6316964285714286,0.42654793206679825,0.825434684753418
500,0.7332589285714286,0.5991432602294954,0.7332589285714286,0.5142606482611755,0.763410210609436
600,0.7555803571428571,0.6078811058717654,0.7555803571428571,0.5395962412023987,0.6613661646842957
700,0.7637648809523809,0.6166458606078472,0.7637648809523809,0.5515022782221987,0.5219424366950989
800,0.7686011904761905,0.6173701611667458,0.7686011904761905,0.5574187241194171,0.4523523151874542
900,0.7730654761904762,0.6294834062082751,0.7730654761904762,0.5609217450421542,0.4875778555870056
1000,0.7726934523809523,0.6327123744049372,0.7726934523809523,0.5636494196946078,0.36844712495803833
1100,0.7760416666666666,0.6345570210042137,0.7760416666666666,0.5636981729616795,0.3029557764530182
1200,0.7708333333333334,0.6306883817715847,0.7708333333333334,0.5600096456094292,0.2889188826084137
1300,0.7775297619047619,0.6362036597882265,0.7775297619047619,0.5670428096833049,0.2781100869178772
