epoch,acc,nmi,pur,ari,loss
10,0.5775,0.5113540746970255,0.5915,0.3876604003927104,1.1713569164276123
20,0.7075,0.6834199984923198,0.745,0.5765655099242366,1.1440742015838623
30,0.7305,0.7177714873536204,0.7735,0.6133450179143586,1.1173286437988281
40,0.565,0.5260296585527835,0.59,0.40006195885239376,1.0828107595443726
50,0.5875,0.5561553137601725,0.6205,0.4289265674462989,1.0370763540267944
60,0.568,0.5435238390765678,0.6015,0.4079607581086057,0.967709481716156
70,0.588,0.554880683867424,0.628,0.42874789681768805,0.8604801893234253
80,0.583,0.5772509465754743,0.631,0.44344875849007565,0.7121185660362244
90,0.677,0.6431405193934593,0.7125,0.5313934572009131,0.6124184131622314
100,0.616,0.610537648457567,0.6585,0.4844863488753569,0.6866874694824219
110,0.7375,0.6728370516463202,0.7375,0.5757122671363175,0.5548577308654785
120,0.7515,0.6872060010329345,0.7515,0.5923992925518833,0.4764252305030823
130,0.763,0.6948278564598531,0.763,0.6108334940631721,0.46954336762428284
140,0.6915,0.6619099958245802,0.6915,0.5349585305401927,0.4708637595176697
150,0.694,0.6375669364354037,0.694,0.5182397446595449,0.458583801984787
160,0.6845,0.6496750826388467,0.6845,0.5201009670583316,0.4341949224472046
170,0.682,0.6478631658235772,0.682,0.5179933743427503,0.40860500931739807
180,0.6895,0.6509932091563716,0.6895,0.5247507797189525,0.39802950620651245
190,0.705,0.6547498579363482,0.705,0.5301687602476034,0.4073236584663391
200,0.6775,0.6401850594419343,0.6775,0.5071180760438829,0.4124716818332672
210,0.7035,0.652231302129835,0.7035,0.5233010611426869,0.3966614305973053
220,0.69,0.6543691563741778,0.69,0.5190002306532189,0.38030821084976196
230,0.7075,0.6603345972790405,0.7075,0.5337310025320209,0.37548181414604187
240,0.7095,0.6515273416490418,0.7095,0.5298808657298165,0.3776035010814667
250,0.7825,0.7044924958329797,0.7825,0.6278499554383669,0.378545880317688
260,0.748,0.6863761543688449,0.748,0.5888440157893908,0.3763098120689392
270,0.781,0.7071072715343956,0.781,0.6226383392966853,0.37099793553352356
280,0.8135,0.7394048869076935,0.8135,0.6741319343198249,0.3657000958919525
290,0.8075,0.7317457371509033,0.8075,0.6639658579985557,0.362773060798645
300,0.8095,0.7270142459379193,0.8095,0.6665470905293401,0.3620655834674835
310,0.804,0.7268754565309167,0.804,0.6607871242767857,0.36283624172210693
320,0.803,0.7230931692376306,0.803,0.6569382578144282,0.36302649974823
330,0.805,0.7272446608432199,0.805,0.6621503028724731,0.35955309867858887
