epoch,acc,nmi,pur,ari,loss
10,0.3238095238095238,0.20029847116370006,0.32857142857142857,0.07681676527708775,1.375463843345642
20,0.4380952380952381,0.4564628496186323,0.5,0.2631102391911265,1.3453998565673828
30,0.6571428571428571,0.587860518357325,0.6571428571428571,0.43725408620184114,1.311672329902649
40,0.7523809523809524,0.6318417631394532,0.7523809523809524,0.549764956181212,1.2619444131851196
50,0.7904761904761904,0.7055631556202013,0.7904761904761904,0.6198346750024002,1.1795097589492798
60,0.8761904761904762,0.8287005254416141,0.8761904761904762,0.7691209192653847,1.0402355194091797
70,0.8714285714285714,0.8216785392813902,0.8714285714285714,0.7694570413040814,0.8512710332870483
80,0.9,0.8498534017408438,0.9,0.8056967292946823,0.7984734177589417
90,0.8904761904761904,0.8335341539999858,0.8904761904761904,0.7900184238546946,0.7657820582389832
100,0.9142857142857143,0.8562543138731616,0.9142857142857143,0.8285400313691463,0.6015291810035706
110,0.9142857142857143,0.8579238217518742,0.9142857142857143,0.8290767085275941,0.5333275198936462
120,0.9095238095238095,0.8585319038727115,0.9095238095238095,0.8260036815413481,0.5056710243225098
130,0.9476190476190476,0.9034068566835348,0.9476190476190476,0.8873604710886691,0.4732600152492523
140,0.9380952380952381,0.898615349999094,0.9380952380952381,0.8723191575696995,0.4131837785243988
150,0.9523809523809523,0.9083692339213854,0.9523809523809523,0.895883527225167,0.3650045692920685
160,0.9571428571428572,0.915454851590115,0.9571428571428572,0.905219030204745,0.37786346673965454
170,0.9523809523809523,0.9084110755915047,0.9523809523809523,0.8960586139517945,0.3631809651851654
180,0.9476190476190476,0.9046489856716612,0.9476190476190476,0.8875648160287157,0.3156508207321167
190,0.9523809523809523,0.9163746255965386,0.9523809523809523,0.897103781320195,0.30907681584358215
200,0.9523809523809523,0.9083692339213854,0.9523809523809523,0.895883527225167,0.3128014802932739
210,0.9666666666666667,0.9367676144512808,0.9666666666666667,0.926349097937208,0.30484461784362793
220,0.9619047619047619,0.9246989086680275,0.9619047619047619,0.9147816484635161,0.28401535749435425
230,0.9666666666666667,0.9285422241151159,0.9666666666666667,0.9242639172404249,0.27081912755966187
240,0.9761904761904762,0.9497073321254031,0.9761904761904762,0.9449527321311233,0.2749485373497009
250,0.9809523809523809,0.9605145929085032,0.9809523809523809,0.9564052279842348,0.2784894108772278
260,0.9809523809523809,0.9570418268774474,0.9809523809523809,0.9555948873526995,0.26599565148353577
270,0.9714285714285714,0.9389702755576295,0.9714285714285714,0.9338869871599108,0.2552129328250885
280,0.9714285714285714,0.9389702755576296,0.9714285714285714,0.9338869871599108,0.2532074451446533
290,0.9666666666666667,0.931720959030375,0.9666666666666667,0.923619534894742,0.2557716369628906
300,0.9761904761904762,0.9497430120865891,0.9761904761904762,0.9451205502532813,0.2543679177761078
310,0.9714285714285714,0.9389702755576295,0.9714285714285714,0.9338869871599108,0.24736958742141724
320,0.9619047619047619,0.9207251608090297,0.9619047619047619,0.9114778646841449,0.24151694774627686
330,0.9619047619047619,0.9220465086196684,0.9619047619047619,0.9120610703708156,0.2418077439069748
