epoch,acc,nmi,pur,ari,loss
100,0.24688133063226356,0.03218068971273841,0.3478515833244482,0.023005441439742595,0.9796063303947449
200,0.3240217507196929,0.07788501573702543,0.4022283825567758,0.0810682622257936,0.9160347580909729
300,0.408732274229662,0.14712456133050064,0.4685467533852223,0.11381571384963389,0.8486168384552002
400,0.4885915342787078,0.25668444795745426,0.5631730461669687,0.24303032836007862,0.7554726600646973
500,0.4876852542915023,0.2565254763014312,0.5514980275082632,0.23554752893658845,0.6193216443061829
600,0.5542701780573622,0.3061903306859971,0.57655400362512,0.2675977751278077,0.4301997423171997
700,0.5473398016846146,0.3182562868964214,0.5710630131144045,0.2582521375758706,0.214476078748703
800,0.5687706578526496,0.33300163552372286,0.5826314105981448,0.2741246897524691,0.13565462827682495
900,0.5803923659238724,0.3450971224388736,0.5878025375839642,0.2809789643970285,0.2529502511024475
1000,0.5847105235099691,0.37653962483139,0.5936133916195756,0.2847046347421598,0.16118568181991577
1100,0.5120481927710844,0.35111058298822057,0.5836443117603156,0.23682605483185282,0.0657665804028511
1200,0.5062373387354728,0.351067437554006,0.5751146177630877,0.23183460938732922,0.05327388644218445
1300,0.5042115364111313,0.3545099589516383,0.5697302484273377,0.23084645321621652,0.07969848811626434
