epoch,acc,nmi,pur,ari,loss
100,0.20795533845080252,0.07538289212166643,0.2274947662247034,0.0368007169950603,0.13551947474479675
200,0.34717376133984645,0.24854682844392015,0.3827634333565946,0.1483351330678671,0.12131932377815247
300,0.3754361479413817,0.2739143187523642,0.40230286113049546,0.1741679862636045,0.10851246863603592
400,0.537334263782275,0.4462763076350981,0.5652477320307048,0.36713058322126974,0.09606115520000458
500,0.5624563852058618,0.491513112787356,0.5969993021632938,0.4075350724843086,0.08459170907735825
600,0.5809490579204466,0.5088265515707215,0.6071179344033496,0.41914801316866995,0.0763917937874794
700,0.586880669923238,0.5117602030810636,0.6133984647592463,0.42834928733800304,0.07393062114715576
800,0.5844382414515004,0.5158337334824147,0.6099092812281927,0.4251572533003068,0.0702047273516655
900,0.5886252616887648,0.5195462400059006,0.6109560362875087,0.4327676244420794,0.06617742776870728
1000,0.5767620376831821,0.5143950654802313,0.6036287508722958,0.42172218063293027,0.06317377090454102
1100,0.5844382414515004,0.5194039283221683,0.6099092812281927,0.42884364348875725,0.061678607016801834
1200,0.5823447313328681,0.5200212991563511,0.6085136078157711,0.4287881468630395,0.06098831072449684
1300,0.5875785066294487,0.5248483272196995,0.6140963014654571,0.4312857368190633,0.060575541108846664
