epoch,acc,nmi,pur,ari,loss
100,0.3328888888888889,0.2964600766052646,0.389,0.16386057584777608,0.3934086561203003
200,0.5193333333333333,0.3891564618526707,0.5351111111111111,0.29563332557293653,0.35141438245773315
300,0.5517777777777778,0.4198197261273676,0.5631111111111111,0.3288379782371238,0.33480000495910645
400,0.5045555555555555,0.38789330622815277,0.5358888888888889,0.30810503502708203,0.3204924166202545
500,0.4922222222222222,0.3579911645859094,0.5215555555555556,0.2863646986537605,0.2985646724700928
600,0.5684444444444444,0.4055332743348438,0.5742222222222222,0.353512687803001,0.2629781663417816
700,0.563,0.40276985126877146,0.5788888888888889,0.3484666226940069,0.21082910895347595
800,0.5668888888888889,0.4030589846622233,0.5832222222222222,0.35244738484825217,0.1544485241174698
900,0.5637777777777778,0.4033928334434681,0.5817777777777777,0.3478069276005663,0.1739267259836197
1000,0.5735555555555556,0.40892494028366655,0.5803333333333334,0.3503633363905833,0.13869257271289825
1100,0.5677777777777778,0.4077000055336882,0.5745555555555556,0.3455389258081418,0.09968766570091248
1200,0.5804444444444444,0.41253042429903813,0.5856666666666667,0.3589749757700271,0.08821354806423187
1300,0.5767777777777777,0.41100160744212394,0.5833333333333334,0.3547124915971941,0.0864456370472908
